hour,t(sec),V1,VAngle1,I1,IAngle1
0, 900.00000, 2406.86, -1.21579, 14.5557, 152.219
0, 1800.00000, 2405.71, -1.24171, 14.4329, 152.193
0, 2700.00000, 2406.21, -1.23434, 14.3095, 152.201
1, 0.00000, 2406.72, -1.22691, 14.1858, 152.208
1, 900.00000, 2407.23, -1.21949, 14.0621, 152.215
1, 1800.00000, 2407.5, -1.21529, 13.9781, 152.22
1, 2700.00000, 2407.76, -1.21123, 13.8942, 152.224
2, 0.00000, 2408.02, -1.20717, 13.8103, 152.228
2, 900.00000, 2408.29, -1.20311, 13.7264, 152.232
2, 1800.00000, 2408.4, -1.20137, 13.6934, 152.234
2, 2700.00000, 2408.51, -1.1995, 13.6604, 152.235
3, 0.00000, 2408.62, -1.19789, 13.6275, 152.237
3, 900.00000, 2408.72, -1.19625, 13.5946, 152.239
3, 1800.00000, 2408.42, -1.20022, 13.6441, 152.235
3, 2700.00000, 2408.11, -1.20442, 13.6937, 152.231
4, 0.00000, 2407.8, -1.20862, 13.7433, 152.226
4, 900.00000, 2407.49, -1.21281, 13.7929, 152.222
4, 1800.00000, 2406.62, -1.22477, 13.9518, 152.21
4, 2700.00000, 2405.73, -1.23705, 14.111, 152.198
5, 0.00000, 2404.83, -1.24963, 14.2705, 152.185
5, 900.00000, 2403.94, -1.2618, 14.4293, 152.173
5, 1800.00000, 2402.25, -1.28485, 14.7036, 152.15
5, 2700.00000, 2400.53, -1.30818, 14.9777, 152.127
6, 0.00000, 2398.82, -1.33155, 15.2518, 152.103
6, 900.00000, 2412.28, -1.3533, 15.5164, 152.082
6, 1800.00000, 2411.4, -1.36503, 15.6422, 152.07
6, 2700.00000, 2410.54, -1.37647, 15.7684, 152.058
7, 0.00000, 2409.68, -1.38789, 15.8946, 152.047
7, 900.00000, 2408.81, -1.3993, 16.0208, 152.036
7, 1800.00000, 2410.52, -1.33817, 16.0299, 152.097
7, 2700.00000, 2411.3, -1.30919, 16.0393, 152.126
8, 0.00000, 2412.03, -1.28214, 16.0485, 152.153
8, 900.00000, 2412.75, -1.25511, 16.0577, 152.18
8, 1800.00000, 2413.44, -1.233, 16.0245, 152.202
8, 2700.00000, 2414.15, -1.21046, 15.991, 152.224
9, 0.00000, 2414.83, -1.18839, 15.9582, 152.247
9, 900.00000, 2415.5, -1.15971, 15.9246, 152.275
9, 1800.00000, 2415.74, -1.15055, 15.9038, 152.284
9, 2700.00000, 2415.98, -1.14138, 15.8828, 152.294
10, 0.00000, 2416.22, -1.13221, 15.8618, 152.303
10, 900.00000, 2416.46, -1.12305, 15.8408, 152.312
10, 1800.00000, 2416.7, -1.11775, 15.7936, 152.317
10, 2700.00000, 2416.94, -1.11239, 15.7464, 152.323
11, 0.00000, 2417.18, -1.10703, 15.6992, 152.328
11, 900.00000, 2417.42, -1.10167, 15.652, 152.333
11, 1800.00000, 2417.6, -1.09843, 15.597, 152.337
11, 2700.00000, 2417.78, -1.09519, 15.542, 152.34
12, 0.00000, 2417.89, -1.09351, 15.487, 152.341
12, 900.00000, 2418.07, -1.09027, 15.4319, 152.345
12, 1800.00000, 2418.02, -1.0947, 15.4005, 152.34
12, 2700.00000, 2417.95, -1.09918, 15.3691, 152.336
13, 0.00000, 2417.89, -1.10367, 15.3378, 152.331
13, 900.00000, 2417.83, -1.10816, 15.3064, 152.327
13, 1800.00000, 2417.59, -1.11756, 15.2973, 152.317
13, 2700.00000, 2417.34, -1.12701, 15.2883, 152.308
14, 0.00000, 2417.1, -1.13646, 15.2792, 152.298
14, 900.00000, 2416.85, -1.14591, 15.2701, 152.289
14, 1800.00000, 2416.22, -1.16771, 15.3171, 152.267
14, 2700.00000, 2415.59, -1.1896, 15.3642, 152.245
15, 0.00000, 2414.95, -1.21151, 15.4113, 152.223
15, 900.00000, 2414.31, -1.23343, 15.4584, 152.202
15, 1800.00000, 2412.84, -1.27115, 15.6585, 152.164
15, 2700.00000, 2410.85, -1.32818, 15.8587, 152.107
16, 0.00000, 2409.52, -1.35884, 16.0586, 152.076
16, 900.00000, 2407.56, -1.41127, 16.2587, 152.024
16, 1800.00000, 2405.53, -1.44659, 16.7333, 151.988
16, 2700.00000, 2403.46, -1.47589, 17.2074, 151.959
17, 0.00000, 2401.46, -1.50378, 17.6818, 151.931
17, 900.00000, 2414.55, -1.53103, 18.1452, 151.904
17, 1800.00000, 2414.05, -1.53835, 18.2648, 151.897
17, 2700.00000, 2413.58, -1.54498, 18.3846, 151.89
18, 0.00000, 2413.12, -1.55159, 18.5043, 151.883
18, 900.00000, 2412.66, -1.5582, 18.624, 151.877
18, 1800.00000, 2413.04, -1.5534, 18.5657, 151.882
18, 2700.00000, 2413.45, -1.54809, 18.507, 151.887
19, 0.00000, 2413.86, -1.54277, 18.4482, 151.892
19, 900.00000, 2414.27, -1.53744, 18.3894, 151.898
19, 1800.00000, 2414.87, -1.52952, 18.2875, 151.905
19, 2700.00000, 2415.48, -1.52147, 18.1855, 151.913
20, 0.00000, 2416.08, -1.51342, 18.0835, 151.922
20, 900.00000, 2416.69, -1.50536, 17.9815, 151.93
20, 1800.00000, 2417.73, -1.49138, 17.7876, 151.944
20, 2700.00000, 2418.81, -1.47667, 17.5927, 151.958
21, 0.00000, 2419.87, -1.4558, 17.3985, 151.979
21, 900.00000, 2405.79, -1.44137, 17.2145, 151.994
21, 1800.00000, 2407.23, -1.42139, 16.9347, 152.014
21, 2700.00000, 2408.8, -1.40154, 16.6542, 152.033
22, 0.00000, 2410.18, -1.3765, 16.3739, 152.058
22, 900.00000, 2411.64, -1.35637, 16.0937, 152.079
22, 1800.00000, 2413.13, -1.3355, 15.8017, 152.099
22, 2700.00000, 2414.61, -1.3149, 15.5101, 152.12
23, 0.00000, 2416.05, -1.28813, 15.2182, 152.147
23, 900.00000, 2417.51, -1.26758, 14.9267, 152.167
23, 1800.00000, 2418.49, -1.25375, 14.7313, 152.181
23, 2700.00000, 2419.5, -1.24168, 14.5352, 152.193
24, 0.00000, 2390.28, -1.23465, 14.3571, 152.2
