hour,t(sec),V1,VAngle1,I1,IAngle1
0, 900.00000, 2354.15, 119.034, 14.7149, -87.5308
0, 1800.00000, 2363.15, 118.84, 14.5907, -87.7248
0, 2700.00000, 2378.85, 118.855, 14.4627, -87.7102
1, 0.00000, 2379.35, 118.862, 14.3446, -87.7034
1, 900.00000, 2379.84, 118.868, 14.2265, -87.6966
1, 1800.00000, 2380.17, 118.873, 14.1476, -87.6917
1, 2700.00000, 2380.47, 118.878, 14.0688, -87.6874
2, 0.00000, 2380.77, 118.882, 13.99, -87.6832
2, 900.00000, 2381.07, 118.886, 13.9112, -87.679
2, 1800.00000, 2381.21, 118.888, 13.874, -87.6767
2, 2700.00000, 2381.33, 118.89, 13.8369, -87.675
3, 0.00000, 2381.45, 118.892, 13.7998, -87.6733
3, 900.00000, 2381.58, 118.893, 13.7627, -87.6716
3, 1800.00000, 2381.38, 118.892, 13.7995, -87.6735
3, 2700.00000, 2381.14, 118.888, 13.8364, -87.6767
4, 0.00000, 2380.91, 118.885, 13.8733, -87.6798
4, 900.00000, 2380.67, 118.882, 13.9103, -87.683
4, 1800.00000, 2380, 118.874, 14.0451, -87.691
4, 2700.00000, 2379.28, 118.864, 14.1801, -87.7007
5, 0.00000, 2378.55, 118.855, 14.3151, -87.7105
5, 900.00000, 2377.82, 118.845, 14.4501, -87.7202
5, 1800.00000, 2376.56, 118.829, 14.7018, -87.7356
5, 2700.00000, 2390.42, 118.82, 14.9435, -87.7454
6, 0.00000, 2389.08, 118.802, 15.1946, -87.763
6, 900.00000, 2387.74, 118.785, 15.4459, -87.7805
6, 1800.00000, 2387.01, 118.774, 15.5538, -87.7913
6, 2700.00000, 2401.58, 118.774, 15.6518, -87.7914
7, 0.00000, 2400.95, 118.765, 15.7591, -87.7997
7, 900.00000, 2400.3, 118.757, 15.8671, -87.808
7, 1800.00000, 2401.3, 118.768, 15.8763, -87.7969
7, 2700.00000, 2401.8, 118.778, 15.8859, -87.7871
8, 0.00000, 2402.27, 118.786, 15.8953, -87.7795
8, 900.00000, 2402.73, 118.793, 15.9047, -87.7717
8, 1800.00000, 2403.22, 118.8, 15.8682, -87.7646
8, 2700.00000, 2403.73, 118.808, 15.8319, -87.7569
9, 0.00000, 2404.24, 118.816, 15.7955, -87.7492
