hour,t(sec),V1,VAngle1,I1,IAngle1
9, 900.00000, 2404.74, 118.824, 15.7591, -87.7414
9, 1800.00000, 2404.95, 118.826, 15.7529, -87.7389
9, 2700.00000, 2405.14, 118.828, 15.7469, -87.7366
10, 0.00000, 2405.34, 118.831, 15.741, -87.7344
10, 900.00000, 2405.53, 118.833, 15.735, -87.7321
10, 1800.00000, 2405.75, 118.836, 15.6929, -87.7289
10, 2700.00000, 2405.98, 118.84, 15.6509, -87.7254
11, 0.00000, 2406.21, 118.843, 15.6089, -87.7218
11, 900.00000, 2406.44, 118.847, 15.5668, -87.7182
11, 1800.00000, 2406.64, 118.85, 15.5179, -87.7155
11, 2700.00000, 2406.84, 118.852, 15.469, -87.7128
12, 0.00000, 2407.04, 118.855, 15.4201, -87.7101
12, 900.00000, 2407.25, 118.858, 15.3711, -87.7074
12, 1800.00000, 2407.28, 118.86, 15.3383, -87.705
12, 2700.00000, 2407.31, 118.862, 15.3056, -87.7028
13, 0.00000, 2407.33, 118.864, 15.2728, -87.7006
13, 900.00000, 2407.36, 118.867, 15.2401, -87.6984
13, 1800.00000, 2407.23, 118.866, 15.2365, -87.6988
13, 2700.00000, 2407.1, 118.866, 15.233, -87.6994
14, 0.00000, 2406.96, 118.865, 15.2296, -87.6999
14, 900.00000, 2406.82, 118.865, 15.2261, -87.7005
14, 1800.00000, 2406.32, 118.856, 15.2647, -87.7091
14, 2700.00000, 2405.81, 118.847, 15.3035, -87.7181
15, 0.00000, 2405.29, 118.838, 15.3423, -87.727
15, 900.00000, 2404.78, 118.829, 15.3811, -87.736
15, 1800.00000, 2403.56, 118.812, 15.5818, -87.7531
15, 2700.00000, 2402.07, 118.799, 15.7825, -87.7663
16, 0.00000, 2400.85, 118.774, 15.9831, -87.7907
16, 900.00000, 2399.2, 118.742, 16.184, -87.8226
16, 1800.00000, 2397.36, 118.72, 16.6765, -87.845
16, 2700.00000, 2410.6, 118.702, 17.1587, -87.8626
17, 0.00000, 2408.63, 118.677, 17.6508, -87.8885
17, 900.00000, 2406.66, 118.651, 18.1433, -87.9145
17, 1800.00000, 2421.25, 118.649, 18.2545, -87.9162
17, 2700.00000, 2420.79, 118.643, 18.3755, -87.9223
18, 0.00000, 2420.32, 118.637, 18.4971, -87.9285
18, 900.00000, 2419.85, 118.63, 18.6187, -87.9347
18, 1800.00000, 2420.06, 118.632, 18.5633, -87.9333
18, 2700.00000, 2420.36, 118.636, 18.5075, -87.9295
19, 0.00000, 2420.67, 118.639, 18.4516, -87.9257
19, 900.00000, 2420.97, 118.643, 18.3957, -87.9218
19, 1800.00000, 2421.44, 118.649, 18.2993, -87.9162
19, 2700.00000, 2421.92, 118.655, 18.2028, -87.91
20, 0.00000, 2422.41, 118.661, 18.1063, -87.9039
20, 900.00000, 2422.89, 118.667, 18.0097, -87.8977
20, 1800.00000, 2423.74, 118.677, 17.8242, -87.8876
20, 2700.00000, 2424.62, 118.689, 17.6388, -87.8763
21, 0.00000, 2425.5, 118.7, 17.4534, -87.8649
21, 900.00000, 2426.38, 118.712, 17.2681, -87.8535
21, 1800.00000, 2427.6, 118.727, 16.9942, -87.8384
21, 2700.00000, 2428.86, 118.743, 16.7204, -87.8221
22, 0.00000, 2430.12, 118.759, 16.4465, -87.8058
22, 900.00000, 2431.38, 118.776, 16.1727, -87.7895
22, 1800.00000, 2432.68, 118.792, 15.8811, -87.7727
22, 2700.00000, 2433.97, 118.809, 15.5895, -87.7558
23, 0.00000, 2435.27, 118.826, 15.298, -87.7389
23, 900.00000, 2436.56, 118.843, 15.0065, -87.722
23, 1800.00000, 2437.48, 118.856, 14.801, -87.7092
23, 2700.00000, 2438.34, 118.867, 14.596, -87.6977
24, 0.00000, 2439.2, 118.879, 14.3905, -87.6863
